1;Anna;Müller;Berlin;19.05.18;Premium;20
110;Simon;Schrammel;Bielefeld;09.02.25;Basic;10
111;Melanie;Schürholz;Dortmund;03.02.15;Premium;20
112;Isabel;Schürer;Hamburg;04.09.21;Basic;10
113;Oliver;Schrammel;Wiesbaden;11.03.25;Basic;10
114;Vanessa;Schürholz;Bonn;20.07.20;Basic;10
115;Christian;Schürer;Dortmund;23.10.19;Basic;10
116;Nina;Schrammel;Bonn;19.12.17;Premium;20
117;Robert;Schürholz;Frankfurt am Main;06.11.16;Premium;20
118;Carina;Schürer;Karlsruhe;23.03.20;Basic;10
119;Sarah;Schrammel;Nürnberg;30.03.25;Basic;10
120;Johann;Schürholz;Hamburg;01.08.11;Premium;20
121;Leonie;Reuter;Dortmund;17.05.25;Basic;10
122;Andreas;Schindler;Bremen;07.04.19;Basic;10
123;Helene;Link;Köln;27.01.25;Basic;10
124;Martin;Weiss;Nürnberg;02.07.23;Basic;10
125;Claudia;Schubert;Hannover;29.12.12;Premium;20
126;Alexander;Barth;Bremen;30.12.11;Premium;20
127;Petra;Schröder;Karlsruhe;12.12.21;Basic;10
128;Thorsten;Reinhardt;Nürnberg;20.12.24;Basic;10
129;Anja;Paulsen;Dresden;18.12.21;Basic;10
130;Holger;Heinemann;Karlsruhe;11.11.12;Premium;20
131;Katja;Schlegel;Hamburg;23.12.13;Premium;20
132;Georg;Behrens;Dresden;06.08.15;Premium;20
133;Marina;Schütte;Essen;01.02.24;Basic;10
134;Dirk;Hein;Stuttgart;04.02.17;Premium;20
135;Heike;Schiller;Mannheim;08.01.13;Premium;20
136;Ulrich;Schrader;Hamburg;21.05.25;Basic;10
137;Kristin;Becker;Mannheim;23.10.17;Premium;20
138;Marco;Schreiner;Hannover;04.02.12;Premium;20
139;Stefanie;Schütz;Hamburg;12.07.20;Basic;10
140;Johannes;Schramme;Stuttgart;29.11.16;Premium;20
141;Corinna;Ulmer;Dresden;09.09.18;Premium;20
142;Henrik;Beckmann;Frankfurt am Main;25.06.22;Basic;10
143;Annelie;Schreiter;Frankfurt am Main;18.11.13;Premium;20
144;Thomas;Schürmann;Hamburg;24.04.19;Basic;10
145;Marcel;Schleicher;Bonn;14.11.11;Premium;20
146;Daniela;Schweiger;Bonn;03.07.15;Premium;20
147;Heinrich;Reich;Augsburg;05.04.12;Premium;20
148;Carola;Schweitzer;Dortmund;22.09.18;Premium;20
149;Florian;Schürer;Berlin;02.09.20;Basic;10
150;Jennifer;Schrammel;Wiesbaden;07.10.11;Premium;20
151;Steffen;Schramberger;Dresden;19.03.25;Basic;10
152;Marie;Schweizer;Berlin;06.09.23;Basic;10
153;Johanna;Schrammer;Berlin;22.02.24;Basic;10
154;Peter;Schweighofer;Stuttgart;06.02.19;Basic;10
155;Annika;Schweikert;Karlsruhe;22.10.11;Premium;20
156;Konstantin;Schürholz;Hamburg;29.08.13;Premium;20
157;Elena;Schürmann;Frankfurt am Main;22.04.14;Premium;20
158;Jonas;Schürer;Nürnberg;28.09.18;Premium;20
159;Helena;Schrammel;Mannheim;03.04.22;Basic;10
160;Patrick;Schürholz;Essen;09.07.11;Premium;20
161;Laura;Schürer;Bonn;04.07.12;Premium;20
162;Michael;Schrammel;Dresden;09.04.19;Basic;10
163;Julia;Schürholz;Essen;01.04.24;Basic;10
164;Tim;Schürer;Stuttgart;01.01.18;Premium;20
165;Clara;Schrammel;Essen;23.07.13;Premium;20
166;Leon;Schürholz;Hamburg;01.10.16;Premium;20
167;Amelie;Schürer;Frankfurt am Main;15.05.18;Premium;20
168;David;Schrammel;Essen;01.02.25;Basic;10
169;Luisa;Schürholz;Bielefeld;21.09.14;Premium;20
170;Tom;Schürer;München;22.05.11;Premium;40
171;Isabell;Schrammel;Stuttgart;03.10.20;Basic;10
172;Matthias;Schürholz;Karlsruhe;20.04.15;Premium;20
173;Daniel;Schürer;Dortmund;05.01.25;Basic;10
174;Franziska;Schrammel;Mannheim;29.08.19;Basic;10
175;Markus;Schürholz;Leipzig;06.07.24;Basic;10
176;Carolin;Schürer;Karlsruhe;10.07.12;Premium;20
177;Stefan;Schrammel;München;08.02.15;Premium;40
178;Antonia;Schürholz;Essen;12.05.12;Premium;20
179;Veronika;Schürer;München;27.03.11;Premium;40
180;Simon;Schrammel;Augsburg;01.10.20;Basic;10
181;Melanie;Schürholz;Frankfurt am Main;19.02.19;Basic;10
182;Isabel;Schürer;Bremen;10.07.14;Premium;20
183;Oliver;Schrammel;Köln;23.07.24;Basic;10
184;Vanessa;Schürholz;München;11.09.15;Premium;40
185;Christian;Schürer;Leipzig;09.12.11;Premium;20
186;Nina;Schrammel;Leipzig;15.02.22;Basic;10
187;Robert;Schürholz;Karlsruhe;02.01.13;Premium;20
188;Carina;Schürer;Mannheim;11.07.12;Premium;20
189;Sarah;Schrammel;Hannover;16.05.12;Premium;20
190;Johann;Schürholz;Nürnberg;22.04.14;Premium;20
191;Leonie;Reuter;Essen;23.10.14;Premium;20
192;Andreas;Schindler;Dresden;17.07.15;Premium;20
193;Helene;Link;Mannheim;05.01.12;Premium;20
194;Martin;Weiss;Stuttgart;27.08.19;Basic;10
195;Claudia;Schubert;Bremen;03.10.17;Premium;20
196;Alexander;Barth;Hamburg;12.03.17;Premium;20
197;Petra;Schröder;Hannover;04.04.14;Premium;20
198;Thorsten;Reinhardt;München;17.10.13;Premium;40
199;Anja;Paulsen;Frankfurt am Main;08.08.25;Basic;10
200;Holger;Heinemann;Karlsruhe;04.09.18;Premium;20
201;Katja;Schlegel;Karlsruhe;16.04.18;Premium;20
202;Georg;Behrens;Augsburg;02.08.24;Basic;10
203;Marina;Schütte;Düsseldorf;13.05.25;Basic;10
204;Dirk;Hein;Leipzig;08.03.12;Premium;20
205;Heike;Schiller;Düsseldorf;18.11.15;Premium;20
206;Ulrich;Schrader;Nürnberg;17.04.19;Basic;10
207;Kristin;Becker;Frankfurt am Main;28.12.20;Basic;10
208;Marco;Schreiner;Dortmund;26.01.19;Basic;10
209;Stefanie;Schütz;Karlsruhe;02.07.18;Premium;20
210;Johannes;Schramme;Karlsruhe;04.04.20;Basic;10
211;Corinna;Ulmer;Hamburg;12.07.17;Premium;20
212;Henrik;Beckmann;Leipzig;21.09.23;Basic;10
213;Annelie;Schreiter;Essen;17.09.15;Premium;20
214;Thomas;Schürmann;Dresden;06.03.21;Basic;10
215;Marcel;Schleicher;Wiesbaden;11.11.15;Premium;20
216;Daniela;Schweiger;Leipzig;30.03.12;Premium;20
217;Heinrich;Reich;Hamburg;14.12.22;Basic;10
218;Carola;Schweitzer;Dortmund;28.02.18;Premium;20
219;Florian;Schürer;Dresden;22.02.19;Basic;10
220;Jennifer;Schrammel;Essen;07.08.17;Premium;20
221;Steffen;Schramberger;Bremen;17.05.11;Premium;20
222;Marie;Schweizer;Hannover;26.08.14;Premium;20
223;Johanna;Schrammer;Mannheim;06.09.19;Basic;10
224;Peter;Schweighofer;München;22.10.23;Basic;30
225;Annika;Schweikert;Leipzig;06.12.13;Premium;20
226;Konstantin;Schürholz;Stuttgart;15.03.21;Basic;10
227;Elena;Schürmann;Bielefeld;26.12.15;Premium;20
228;Jonas;Schürer;Stuttgart;13.10.20;Basic;10
229;Helena;Schrammel;Hamburg;23.12.12;Premium;20
230;Patrick;Schürholz;Hamburg;09.04.20;Basic;10
231;Laura;Schürer;Hamburg;25.10.23;Basic;10
232;Michael;Schrammel;Bonn;24.07.21;Basic;10
233;Julia;Schürholz;Leipzig;23.08.16;Premium;20
234;Tim;Schürer;Bremen;24.03.18;Premium;20
235;Clara;Schrammel;Frankfurt am Main;11.10.14;Premium;20
236;Leon;Schürholz;Stuttgart;30.01.25;Basic;10
237;Amelie;Schürer;München;11.01.13;Premium;40
238;David;Schrammel;Berlin;10.03.22;Basic;10
239;Luisa;Schürholz;Bonn;20.05.11;Premium;20
240;Tom;Schürer;Düsseldorf;13.03.22;Basic;10
241;Isabell;Schrammel;Hamburg;24.01.19;Basic;10
242;Matthias;Schürholz;Karlsruhe;09.09.12;Premium;20
243;Daniel;Schürer;Köln;05.03.19;Basic;10
244;Franziska;Schrammel;Augsburg;20.01.12;Premium;20
245;Markus;Schürholz;Bremen;11.04.19;Basic;10
246;Carolin;Schürer;Nürnberg;02.09.22;Basic;10
247;Stefan;Schrammel;Nürnberg;29.09.20;Basic;10
248;Antonia;Schürholz;Bielefeld;22.05.19;Basic;10
249;Veronika;Schürer;Wiesbaden;11.07.15;Premium;20
250;Simon;Schrammel;Dortmund;20.06.16;Premium;20
